Country Name|Country Code|Indicator Name|Indicator Code|1960|1961|1962|1963|1964|1965|1966|1967|1968|1969|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020
Antigua and Barbuda|ATG|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD||||||||||||||||||3014573.394|2624380.244|3754799.261|3776699.773|4666935.502|4820078.367|4709746.417|4991348.311|6332269.929|6762429.834|8619252.475|13579436.67|14531817.16|15301420.47|16607990.96|17350930.31|18925665.6|20796470.96|20336521|22445858.71|24328296.96|25287651.73|25253627.19|26947448.19|26847943.04|26983583.88|27064280.91|27421564.76|28998468.54|30881147.58|32781026.85|31731179.33|26402235.83|25222042.5|24807868.33|26107240.83|25712732.5|26684222.5|28437385.83|29880292.5|31502136.67|34379068.33||
Australia|AUS|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||2031765057|2223505213|2576679533|3175923371|4408588141|4849945564|5225485242|5449695896|5961236183|6651823242|7408523677|8800824335|9502261944|8782498830|9735263539|8884751093|8760566592|8723239809|10636596333|13095326114|13191061177|13731342909|14047039145|15758170320|16375593220|17354950371|20078194234|20440774413|18335462655|18025398719|19476126421|17814060856|18650886877|22086617542|29072082316|32714664712|34344041779|37981250059|46501593554|42972758062|55961974456|65018498472|75705946587|76154230618|69447649653|66300211022|59098685490|64793485089|69558160818||
Austria|AUT|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||494196287.3|610415412.4|775330038.1|1036766788|1273197276|1609307533|1809479431|2117673547|2672097068|3185085599|3532329694|3405770567|3493625842|3470486973|3268307380|3405964418|5044715991|6201933337|6417941949|6279535423|7692105888|8335854107|9191344689|8972634093|10178965918|12245665893|11618757213|11209318634|12318229745|12439936863|10460212258|10646773736|11349456569|13756692607|15445163919|16049040293|17074915318|19453810799|21997888589|22199938316|21339229085|23358990034|21352593738|22771124250|22878880495|19691041612|20382338580|21382971925|23428365769||
Azerbaijan|AZE|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD||||||||||||||||||||||||||||||||||165078932.7|137636463.8|91345142.11|104431020.5|119544828.1|149024337.6|191430917.2|199461431.7|196531461|192503822.1|234407205.7|292059642.4|387441420.2|517954307|797168023.2|1155037173|1394416334|1433639397|1563951718|1416304337|1732254761|1904229784|1532380593|1077984893|997849399.4|1139396936||
Burundi|BDI|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||5230516.492|5419109.09|6355985.143|7103581.336|7734279.365|9071514.921|10054453.33|13140268.63|15489904.44|19308416.67|22548725.76|28984400|26840125.99|28656236.67|22404720.57|26026894.52|33070263.64|33091534.48|33902973.75|35935669|36867988.09|39309220.83|38497668.59|37729419.68|41114474.54|46436858.64|34205019.69|38226074.49|33947921.79|25895113.18|26676299.89|24032464.99|22565512.37|21485250.11|25172844.28|39578867.99|49950713.32|58062872.69|74750419.43|96339248.05|128556512.5|128000261.2|132394445.5|126977586.8|139687047.9|160583021.9|153133069|163934237.5|157492855.4||
Belgium|BEL|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||1110681883|1268830699|1583632942|2318406900|2818262724|3520709805|3813207974|4597054990|5509981572|6184182665|6725598314|5767900417|4956389118|4515955541|4076996144|4404976674|5892961102|6907470067|7013527350|7075198460|8857161303|9115031680|12293491681|12108258056|13296798374|8536162698|8570853420|7862776803|8043499074|10284117408|11505047683|13503463537|14933263017|17997170635|20999373529|21861721676|23296065588|26847586655|31401427860|30643572867|29788348019|32037079099|31065064545|32698631605|33782293514|28698914896|29416511197|31198885999|33452965352||
Benin|BEN|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||10264960.99|11286990.98|14288116.18|19670665.39|20050371.52|24996097.48|25841105.04|26994590.66|35307445.91|39180130.05|46271578.86|42495827.06|41633268.25|35702946.97|33706230.74|33801218.38|43227739.14|50609207.86|52642870.09|48310262.99|63385822.7|64526341.89|53943595.18|73736334.95|51570392.93|53134289.72|62810653.02|60732048.53|66404650.82|92325412.2|94122606.05|98872761.53|109882114.2|149436681.6|204534446.9|237011718.4|243518226.1|261946479.7|380715459.6|415663427.8|454178646.6|509864964.1|527152116.1|583850084.5|601659882.3|454890660.3|471911936.6|505865169.3|568066194.4||
Burkina Faso|BFA|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||7960570.293|8368705.787|10025149.29|10118034.02|11233195.04|14846417.65|18420020.54|17776593.72|23431740.72|31306892.49|32718881.48|28256562.99|27907015.01|27033293.42|23278883.27|26295488.66|38587165.99|42717300.98|36441167.93|57281146.53|84073783.22|84939894.94|60658759.77|62999317.87|54549787.55|51146585.84|33714858.26|56245959.36|66668033.89|||||||||||||||||487924773.1|517091813.9|587896265|677480820.1||
Bangladesh|BGD|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD||||||||||||||43986993.02|112705737.1|155519354|50526484.75|57653133.39|85368133.64|108750033.7|127098591|144135312.1|131930089.8|144983838.4|175076280|203898115.4|244223833.3|273536290.3|299027236.3|353022820.5|386808665.9|347804032.1|389743630.4|442899831.8|465568427.2|522684712|621844439|644973536.3|767526505.9|697506614|705302389.2|723187157.2|711350557.2|1051413057|1005296599|1120444300|1221510706|1516485097|1687498334|1758582651|2215727296|2729343467|2885535385|2929475121|2988272572|2977434891|2917718501|3245074352|3570214324||
Bulgaria|BGR|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||663860461.5|747546857.1|690751200|593442000|649584333.3|649518000|804712941.2|1083687000|841127764.7|854066666.7|835820000|471963871|519219433|499940362.3|380198597.8|630750696.4|368842792|332751952.6|442416051.5|417169491.8|414379167.5|470297978.2|534208450.6|818722654.2|587487497.8|1141201228|1277445060|1481723965|2073872028|2124049477|1962496433|2050135089|1902512273|2100892390|2179256323|1895550016|2014651820|2223702234|2582091404||
Bahrain|BHR|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||141183680.3|169600474.2|179130505.4|184649271.8|186995730.7|161748357.6|130877348.4|137804243.1|150478723.4|157643617|200309840.4|168260638.3|176980053.2|185236170.2|207675010.4|208460642.6|212682666.2|226184158.8|262621898.7|264649168|351219359|327101252.1|325162233.9|358903904.3|402135541.2|467297742.1|509167314.2|542212239.9|634553007.7|543752900.7|638356055.7|705970305.9|865489653.8|912098876.1|924073781.5|855247576|886230438.8|972929090.4|1035274293||
Bahamas| The|BHS|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||16812139.82|17905489.8|18451303.2|20949990.6|21851758.5|27053027.1|18694500|20770200|23251800|33619157.74|40615859.2|43637205.6|50125261.6|55896158|66545472|76795344.81|83077914.4|92896931.93|98405120|109983772.8|113573980.8|112465929|116080598.4|113671841.6|119724418.4|148904071.4|169582446.9|237030874.6|254519676.3|289858976.9|304403572.1|311409679.1|333575032.3|334374950.5|341904233.3|370294013.6|381613433|398393799.4|401459211|377485943.8|379274100.6|379046649.5|406944886.1|403809283.1|401785072|435327957.9|441035790.9|452206293.2|450385633.6|
Bosnia and Herzegovina|BIH|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Belarus|BLR|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||779400000|774000000|868888888.9|830330578.5|816414904.3|723060101.7|677374769.2|756401458|814866360.4|652411928.5|684798361.3|665509046.8|787558557.5|967514177.6|1256689436|1682920824|2104399523|2186867963|2794014781|2202840812|2777329866|2722948163|3061515786|3552779965|3581036151|2573943610|2266977007|2476338776|2722886908||
Belize|BLZ|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||2162874.251|2382036.297|2640260.253|3104867.794|3864615.784|4425226.965|3702436.613|4686592.655|5416454.698|6127495.083|8197384.772|8122166.413|7415997.588|7804847.128|8644659.565|9326212.163|8931795.697|11685240.84|13338735.12|15273956.28|18328571.33|19154113|21138142.2|23817563|28872849.2|32268731.4|30134022.45|30286699.2|33925940.66|35616593.67|39893675.52|40145155.05|43350105.37|45595129.65|47664898.35|52626236.96|60287634.01|64374588|71339818.25|76578331.77|80160284.96|91362198.3|91809120.29|93305371.01|97134358.05|104049612.9|106492477.9|107426980.3|108007620.4||
Bermuda|BMU|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||5952000|6747000|7524000|8616000|9326800|10292800|11319000|12860100|13435500|14003600|17497580.21|21856232.99|23416830.3|27269002.27|31303909.42|29980800|36498753.02|39445897.67|42566224.31|43705466.16|41844401.66|47818099.07|52138900.99|59385161|60911836.2|66249163.87||||||||||||168435981.2|159363088.7|137216844.8|150441879|144399024|147043344|148819881|||||||
Bolivia|BOL|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||102618392.3|120092778.7|106589050|148366515.8|183344122.5|159806151.1|155303714.4|148013561.1|168310499.6|146367965.1|106750448|118335121.5|121318830.5|93594449.49|162973041.9|179813456.6|192159753.2|195073620.7|272540978.7|325430935.6|337872009|371547161.8|408431886.5|395546016.5|393091525.2|431412531|476678604.9|492506837.6|499968415.5|512755400.8|577051405.8|731320003.9|1026373448|1228297766|1354436307|1493549563|1542140165|1744968200|1902932289|1937884512|2025869999|2216050446|2390392123||
Brazil|BRA|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||1501928757|1752280063|2090295462|2351424238|3754972094|4391723168|4360380134|5197602407|6274585310|7006246801|7955496613|10106362877|11490858244|5934840604|5520052175|7176171252|10503128550|11965070407|13321449618|20406613216|20838959909|27312010721|18214605175|19794801052|24891525684|32587939516|34973727521|36136072911|39117886003|21643793601|24697974680|20674239174|18213175643|20569905121|25332159983|38011072307|51728308523|66319341492|85358903315|88027173225|1.1538E+11|1.39939E+11|1.33164E+11|1.35377E+11|1.36502E+11|1.08036E+11|1.07382E+11|1.23673E+11|1.11938E+11||
Barbados|BRB|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||89388851.51|98246468.75|104514036.9|116446972|125381122.4|108969074.7|130260498.2|136674329.1|142228339.7|145781026|154911228.5|164629068.1|133389016.4|114355665.5|128949225|154312760|161028945|175921460|187679460|202269750|213107153.1|233730134.3|227860207.1|239425107.6|255363310.2|243358198.6|239186456.7|261281041.1|282004836.5|256191264.8|235635378.9|221493767.2|226238806.5||
Brunei Darussalam|BRN|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD||||||||||||||||||||||||||||||125389655.1|126739862.1|125856679.8|146424186.6|168333952.2|118844672.9|137647796.3|148742813|151119223.2|202557361.4|218960000|218441980.3|194861941.4|193881659.8|207015005.5|235855103.1|270215270.7|306726598.3|309352667.8|339807530.1|236287656.9|276219948.7|424837563.2|498860681.6|538598869.2|570014911.8|497533132.6|488232276.9|512674454.7|544702411.6||
Bhutan|BTN|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||2616325.306|2735985.012|2728628.253|2858935.588|3207915.281|3267603.255|3928937.601|5266452.791|6115532.859|6240630.241|6674792.295|5423261.265|5281565.536|5012825.433|5949005.631|6310376.062|6676510.043|7942021.939|10390279.56|13290187.92|18697002.91|17848725.14|20170395.5|23590195.7|27061823.57|33770878.31|34247365.45|41023712.28|38081896.81|47574340.96|44530315.77|56049718.26|69211156.08|82857982.8|105032112.1|126150963.3|133788735.7|151689928.3|150940403.2||
Botswana|BWA|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||4012765.937|4564578.44|5453259.654|7087961.821|7735331.126|10300000|12276333.95|16709323.04|24795822.27|35254723.93|41577650.54|49936332.4|51592736.91|49834442.52|52956446.4|51934169.03|57694641.05|83000059.56|123400415.6|131006234.3|158443617.3|224672853.4|221462767.2|249803523.6|226316796.2|263515355.5|257709478.6|273455229.1|275397685.4|320580434.8|362548440.6|385344209.7|366430881.6|561316699.5|703000768.9|847706184.3|772638222|734464070.2|850367834.9|950760273.8|1151564575|1423528426|1346576546|1351011128|1495858910|1324043011|1362861078|1528405773|1635102296||
Central African Republic|CAF|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||7871332.017|8360257.629|8445298.858|11265883.45|11724356.7|15822130.14|16216550.62|17734207.31|18353355.57|27544552.75|29585693.96|30716610.48|25936725.23|23327673.22|18103018.7|24713950.58|24417031.29|29422037.77|28830869.37|28152732.41|31202015.63|31308901.5|32117839.1|27721406.67|14116426.36|17510283.73|15571313.22|14550128.63|14969978.53|15689420.16|14307721.01|14708127.92|15680884.53|18201541.91|20168624.71|21366967.97|20287247.24|21929333.22|24921971.17|25255167.56|24750699.06|28148678.24|28995504.93|19627155.25|22016945.69|19744122.42|21249490.85|25046261.41|27447570.46||
Canada|CAN|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||6365418120|6576653259|7614172676|8186717329|9673426760|10308152247|12622281922|13304622446|14550294539|15187037973|16577621597|18413208775|19138171354|22233844531|22123462281|21299670450|21608861461|25606705128|29573364752|32314858108|33328376757|36125928253|37823291139|37477933494|39701249268|39200809531|42108346515|43837479365|33460458592|35964095919|38940847354|36268051395|36789603348|42465291360|47824508212|53549737415|60046231488|66426500512|67021594189|61873792669|79265142705|86717181088|88554483513|89680292399|87477491560|75541900296|74421967306|80394082167|83519446886||
Central Europe and the Baltics|CEB|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Switzerland|CHE|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||651963712.3|841999300.5|1105289094|1588109204|1951698434|2420091830|2680822875|2951201546|4113244054|4639328006|4942058719|4339262864|4639330530|4758865054|4462216623|4401399790|6398631037|7971678914|8471486417|8128020513|10542455819|11477101909|13099920577|12722412222|13968260031|16492066351|15929393628|14727995388|12870383172|12766122513|11842045042|11848831782|14574687591|17977690316|19717994835|19535513025|19773130658|21003149486|24974879651|25272884787|26576926295|32127254926|31212628472|31568971689|32254505483|31123639657|30689080742|31260280947|32418348271||
Channel Islands|CHI|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Chile|CHL|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||346241217.6|417535774.1|672281841.3|648732680.9|592958155.2|271505749.8|414387936.1|562583382.2|511532936.1|760621411.2|1236699634|1718411658|1334071098|930424810.1|844693386.3|687266308.3|678133841|656110113.5|721875315.5|697353029.5|752508735.6|860999530.4|1101094233|1189783567|1415868503|1837122590|2114948214|2552561102|2736630323|2650878395|2561749321|2432995860|2466815495|2621454001|3178546836|3774062626|4420352170|5228803994|6623896880|6794534552|8591764896|9764116329|11860636027|12078663003|11450544949|10811302147|11087975135|12137342017|13044231958||
China|CHN|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||1491164290|1397213421|1705313794|2078164271|2306914134|2614904828|2616987741|2973947680|2691733551|3387331294|3249536597|3328311835|3696503315|4168139798|4440763367|5275577431|5413231466|4364696739|4995685233|5567081397|6462804389|6861650303|6406956148|6657134058|10139196060|12287149079|14472265198|19353283518|20278509648|19323533036|21420595779|23631986189|26055327119|29536243641|34908855562|40630443917|49171110627|63695058824|82749407083|91167765173|1.08494E+11|1.33912E+11|1.52372E+11|1.69917E+11|1.87753E+11|1.97254E+11|2.00271E+11|2.20183E+11|2.47799E+11||
Cote d'Ivoire|CIV|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||68141480.13|86605494.64|130633507.6|156332857.2|160566502.3|225176477.8|261223519.4|285330790|402361130.3|581736846.3|580830897.8|553720416.2|512942098.7|473558884|406374378.3|396625593.9|592514524.7|643481816.9|650890513.3|585820750.9|644361995|638229688.5|755158669.2|706570966.4|376971425.1|430544599.7|448931333.9|429109154.9|404441924|451554159|382773780.5|392505605.1|476574274.8|576686999.1|637766305.9|667173871.9|690425079.1|830290709.7|990063323.5|979186078.4|1055034137|981198490|1085248551|1322134431|1503600770|2082440441|2417058527|2481898761|2385733455||
Cameroon|CMR|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||35160973.68|35731394.21|42079679.12|43696634.35|56724097.17|70793509.57|78630555.63|75361386.4|116623899.7|158338306.9|162467462.7|161659839.8|165014844|180733632.2|203285673.2|191139931.9|251605189.5|291442472.4|286341797.2|262140169.8|320210738.8|361450333.5|279516516.3|362661559.9|246873023.8|223863017.4|228443319.6|214710388.2|225162840.5|214064315.1|167981640.7|217381161.4|297032383.3|409479139.2|466573927.7|504459660.4|479509777.7|610031090.8|673327136.9|735680312.3|766790102.5|816919889.7|765152250.8|850572675.1|929949885.9|817179020|859881949.1|920524861.6|1015048254||
Congo| Dem. Rep.|COD|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||||||48534390.99|46141571.55|51068389.33|53777545.04|55100879.41|42549974.29|194786595.2|76937527.82|95880005|103238083.8|123167613|146744485|185776226.4|221655454.4|262911987.4|262966633.1|313955080.1|417236178.7|520948976.4|615293718|677102825.5|723611593.5|748714526.4|761080575.8|938324171|
Congo| Rep.|COG|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||15285174.11|17330555.69|20622398.06|27128776.69|30182962.54|48697557.61|58107306.75|48240766.06|72526263.69|82931246.07|101916306|105355021.1|112628591.2|107123625.7|92999294.29|136285093|126649532.5|157298122.1|128391384.4|136495290.7|156469073.2|153444692.2|172062118.1|146840196|104500808.4|101948238.2|86571876.89|98831385.94|76887664.38|79903427.75|102726233.9|82102588.59|83235684.47|97456035.58|105284005.6|101613675.7|128656111.4|145512088.4|220955970.8|175866573.9|227631859.1|270332927.5|265639717.3|278536453.2|296215279|213421362.3|211275211.7|206411419.3|260008510.9|
Colombia|COL|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||122193988.1|132971862.3|147385831.9|175748065.4|211926399.3|222225619.3|260636759.2|333138646.1|366765937.3|470036079.6|563643257.9|897603156.8|1033301465|1087931290|1063665618|963362940.6|896251071.6|859582513.1|974156220.4|1005508941|1047399165|1035900401|1797177387|1741265439|2005326017|2272775077|2567630146|3229472759|2994668681|2870136492|3587914447|3792458979|4048915156|3787616935|4565896653|5820366718|6263384853|7437362226|8277151391|8830124349|10784913489|10452238867|11381823043|13551418604|12831650356|9811037603|9813647554|10775382489|13120821060||
Comoros|COM|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||8359744.533|7721924.503|7249247.016|7506233.808|7229354.26|7680402.581|10905823.29|13218010.27|13913719.75|13461446.75|16727760.89|16943933.9|18450290.45|17733445.59|12942358.64|15579701.84|16604314.46|15274754.64|7657930.149|8016871.208|7429117.917|8119020.008|9169702.279|11923567.38|13960202.28|14592106.41|15753586.05|18201408.09|21025311.64|21015909.91|21387911.53|24347589.76|24395673.21|27122938.9|28239850.71|24025656.04|25222351.29|26837440.37|29363198.31||
Cabo Verde|CPV|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||5169571.264|5211829.92|5069120.19|4899474.445|3570649.495|3474953.399|5865633.179|5875754.252|8856418.254|9043935.215|10330605.58|9630727.902|13967320.76|19147488.29|15829805.92|18882359.97|19388989.7|18977657.22|20138766.74|26959667.5|24875757.45|27031315.45|30130426.48|43749743.21|56542221.18|52968164.7|53677946.24|69530897.11|88331423.98|78751005.01|78125323.69|89818252.23|84611498.54|91792650.97|91984674.21|81037448.4|83604936.16|89079010.18|100125910.4||
Costa Rica|CRI|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||48451507.92|60272948.43|68265954.41|84609681.11|92380033.24|119380909|147226867.1|201931274.4|230080200.7|217605882.1|323074290.9|144326350.7|114541500.2|109713637.8|141060203.3|123658137.9|140932845.1|144018983.7|132612726.9|155172024.6|237121726.8|230502567|283258515.9|307940767.3|341238086.9|375015320.4|437685113.3|623317745.4|700544439.3|749468668.3|677412308.8|727130846.9|656507728.1|668303329.8|706129566.8|812377162.5|983890170.2|1233811991|1500935623|1831995483|2314285996|2708882779|3083623583|3386494306|3433222775|3720953154|3895002769|4111671813|4145050575||
Caribbean small states|CSS|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Cuba|CUB|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||359900551.9|437130098.7|514283279|631397578.1|721071028.6|823574370.5|871738578.5|898043815.8|1155193783|1248765415|1484387350|1462393599|1561647124|1459526003|1604582880|1550199849|1757272157|1754744602|1754522361|1702399237|1710131277|1646521347|1566790667|1519537702|1595893402|1517381983|1201700500|1516828515|1793724699|2001494799|2179872240|2341595470|2684557853|3026932968|3375994068|3860777458|4227321280|6744371400|8371129110|8019989900|8182769600|8837172600|9386194600|9917002600|10356233210|11190421400|11720188600||||
Curacao|CUW|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD||||||||||||||||||||||||||||||||||||||||||||||||||||151577243.9|154861691.6|155207381.1|156855616.9|158069594.9|155858962.6|157735197.6|158738072.6||
Cayman Islands|CYM|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Cyprus|CYP|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||19662595.17|21562335.77|28266894.73|38966845.51|69580083.58|73633502.79|76104310.73|77765097.66|77548600|82800415.36|100838305.1|121036933.7|135556243.9|145035467|172273180.2|189341512.5|240323571.1|242398248.2|272808545.4|358387291.1|441770422.1|418438787.1|490879457.7|434403570.6|457365833.1|485686859.1|567554829.6|854007394.8|970945866|1032773125|1148994398|1375151223|1654245233|1646617875|1577703124|1680518606|1515551029|1483137524|1433736433|1209014787|1234396954|1350903831|1482270508||
Czech Republic|CZE|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||||1140809626|1586078764|2047619879|2432868011|2511691201|2548091852|2175671523|2173537149|2069842785|2298999887|2925664476|3766482250|4319971206|4775810121|5856430407|6536364143|7913227066|7608448875|7551872114|8469577430|7956132693|7735613365|7376700702|9964741840|10307995137|11449186219|13083450980||
Germany|DEU|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||8894434521|10287347358|12325978222|16376361410|18305632474|20197331563|21413682866|24700982603|30567710056|36275595009|39119989317|32895978992|31885608860|31742703281|29982561048|30291758458|43159355213|53473593224|58006050082|57984237043|73425737334|76908942955|87655717843|85071132662|90385268949|1.08455E+11|1.04899E+11|95003185954|90737446781|88935508409|78968521701|79002828835|83872125083|1.01388E+11|1.16126E+11|1.18057E+11|1.25364E+11|1.45431E+11|1.60031E+11|1.6156E+11|1.62138E+11|1.74349E+11|1.68679E+11|1.70529E+11|1.77541E+11|1.50468E+11|1.55253E+11|1.6432E+11|1.7745E+11||
